nrows	sim_id	rxn_type	mean_abort_per_m	sd_abort_per_m	total_abort	total_time	abort_freq
2	219	preterm_5_hit_endocleaved	6	3	6483	999310	0.006487
2	219	preterm_no_hit_endocleaved	7	2	7295	999310	0.0073
1	22	preterm_no_hit_endocleaved	1	0	4	758650	5e-6
2	221	preterm_5_hit_endocleaved	12	8	5665	626962	0.009036
2	221	preterm_no_hit_endocleaved	14	13	8451	626962	0.013479
2	222	preterm_5_hit_endocleaved	11	8	8358	998308	0.008372
2	222	preterm_no_hit_endocleaved	13	13	13587	998308	0.01361
2	223	preterm_5_hit_endocleaved	6	7	4408	999336	0.004411
2	223	preterm_no_hit_endocleaved	8	9	8398	999336	0.008404
2	224	preterm_5_hit_endocleaved	2	2	1298	999978	0.0012979999999999999
2	224	preterm_no_hit_endocleaved	4	3	3600	999978	0.0036
2	225	preterm_5_hit_endocleaved	12	7	12150	999999	0.01215
2	225	preterm_no_hit_endocleaved	7	4	7622	999999	0.007622
2	226	preterm_5_hit_endocleaved	11	6	11162	999999	0.011162
2	226	preterm_no_hit_endocleaved	7	4	7188	999999	0.007188
2	227	preterm_5_hit_endocleaved	10	5	10376	999767	0.010378
2	227	preterm_no_hit_endocleaved	7	3	7227	999799	0.007228
2	228	preterm_5_hit_endocleaved	7	4	7678	999792	0.00768
2	228	preterm_no_hit_endocleaved	7	2	7528	999792	0.00753
2	229	preterm_5_hit_endocleaved	6	3	6922	992779	0.006972
2	229	preterm_no_hit_endocleaved	7	2	7599	992779	0.007654
1	23	preterm_no_hit_endocleaved	1	0	13	865044	1.5e-5
2	231	preterm_5_hit_endocleaved	4	3	2746	999821	0.002746
2	231	preterm_no_hit_endocleaved	7	4	6948	999821	0.006949
2	232	preterm_5_hit_endocleaved	4	3	3516	998840	0.00352
2	232	preterm_no_hit_endocleaved	7	4	7548	998840	0.007557
2	233	preterm_5_hit_endocleaved	3	2	2785	999509	0.002786
2	233	preterm_no_hit_endocleaved	6	4	6004	999509	0.006007
2	234	preterm_5_hit_endocleaved	2	1	1474	999802	0.001474
2	234	preterm_no_hit_endocleaved	3	2	3602	999802	0.003603
2	235	preterm_5_hit_endocleaved	4	3	140	454653	3.08e-4
